Symbol,Name
TSLA,Tesla
MSFT,Microsoft
META,Meta platforms
NVDA,Nvidia
BNGO,Bio-nano-genomics
NFLX,Netflix
ZG,Zillow
PUBM,Pubmatic
CCL,Carnival
SKLZ,Skillz
AMZN,Amazon
ROKU,Roku
NKLA,Nicola
PLTR,Palantir-technologies
MRNA,Moderna
BLNK,Blink-charging
NCLH,Norwegian Cruise Line
NKE,Nike
NFE,New-fortress
ZM,Zoom
TDOC,Teladoc
NIO,Nio
DASH,Door cash
SBUX,Starbucks
AAPL,Apple
ABNB,Air b&b
PINS,Pinterest
UBER,Uber-technologies
DOCU,Docusign
QCOM,Qualcomm
ZUO,Zuora
DIS,Disney
NSTG,Nanostring tech
FLT,Fleetcor tech
DELL,Dell tech
HPQ,HP
TMO,Thermo-fisher
ISRG,Intuitive-surgical
